'time','x','y','z'
785205,0.2298,-0.1532,9.8450
785255,0.1915,-0.1915,9.8067
785306,0.2298,-0.1532,9.7875
785355,0.1915,-0.1532,9.8067
785405,0.2298,-0.1724,9.8067
785455,0.2107,-0.1915,9.7683
785506,0.2107,-0.1532,9.7683
785554,0.2107,-0.2298,9.7492
785605,0.2298,-0.1724,9.7300
785655,0.2873,-0.1532,9.6534
785706,0.1341,-0.2490,9.8641
785754,0.2873,-0.1149,9.7492
785805,0.2682,-0.1915,9.7875
785855,0.2107,-0.1341,9.8450
785906,0.1915,-0.1532,9.7875
785958,0.2298,-0.1532,9.7683
786005,0.2107,-0.1532,9.8641
786055,0.2490,-0.1341,9.8641
786106,0.2298,-0.1341,9.7492
786155,0.1915,-0.1532,9.8067
786205,0.1915,-0.1532,9.8067
786255,0.2107,-0.1341,9.7875
786306,0.1915,-0.1532,9.8258
786355,0.1724,-0.1341,9.7875
786405,0.1724,-0.1532,9.7875
786455,0.1724,-0.1532,9.8067
786506,0.1341,-0.1915,9.7300
786554,0.1724,-0.1532,9.6917
786605,0.0766,-0.1341,9.8641
786655,0.0766,-0.1915,9.8258
786706,0.1724,-0.1532,9.8067
786754,0.1341,-0.1724,9.7683
786805,0.1149,-0.1149,9.7875
786854,0.1149,-0.1149,9.7492
786905,0.0766,-0.1532,9.8450
786955,0.1341,-0.1149,9.8067
787005,0.1341,-0.0958,9.8067
787055,0.0958,-0.1724,9.7683
787106,0.0958,-0.1149,9.8067
787155,0.0766,-0.1532,9.8450
787205,0.0958,-0.1341,9.7875
787255,0.1149,-0.1532,9.7683
787306,0.0766,-0.1341,9.8067
787355,0.0766,-0.1532,9.8067
787403,0.1149,-0.1341,9.8067
787453,0.0383,-0.1341,9.7875
787506,0.0192,-0.1532,9.8450
787553,0.0958,-0.1724,9.7875
787603,0.1149,-0.1724,9.7875
787653,0.0766,-0.1341,9.7875
787708,0.0958,-0.1915,9.6917
787754,0.1341,-0.1149,9.7300
787806,0.1341,-0.1341,9.8641
787856,0.1724,-0.1341,9.8258
787906,0.0958,-0.1341,9.7683
787955,0.1532,-0.0958,9.7875
788005,0.1341,-0.1341,9.8258
788055,0.1532,-0.1341,9.7875
788106,0.1341,-0.1341,9.8067
788155,0.1532,-0.1532,9.7875
788205,0.1724,-0.1149,9.7492
788255,0.2107,-0.1532,9.7109
788305,0.0766,-0.1532,9.8258
788355,0.0958,-0.1149,9.8641
788405,0.2107,-0.1341,9.8067
788455,0.1532,-0.1149,9.8258
788506,0.1341,-0.1149,9.8067
788554,0.1724,-0.0958,9.7492
788605,0.1915,-0.0958,9.7875
788655,0.1915,-0.0958,9.8450
788705,0.2107,-0.0958,9.8258
788754,0.1532,-0.1532,9.7492
788805,0.1915,-0.1149,9.8450
788855,0.1915,-0.1341,9.8450
788904,0.1724,-0.1341,9.8067
788955,0.1915,-0.1341,9.7683
789005,0.1724,-0.1149,9.8067
789055,0.1915,-0.1532,9.7109
789106,0.2107,-0.1532,9.8450
789154,0.1915,-0.1149,9.7875
789205,0.0766,-0.2682,9.8641
789255,0.1532,-0.1724,9.8258
789306,0.1915,-0.2298,9.7683
789354,0.1724,-0.2107,9.8067
789405,0.1532,-0.2298,9.7875
789455,0.2107,-0.1915,9.7875
789506,0.1149,-0.2873,9.8450
789554,0.1532,-0.1915,9.8833
789605,0.1915,-0.2298,9.7492
789655,0.1724,-0.2490,9.7875
789706,0.1724,-0.2107,9.8067
789754,0.1724,-0.2107,9.8067
789804,0.1724,-0.2490,9.8067
789855,0.1532,-0.2298,9.8067
789906,0.1915,-0.2682,9.7683
789954,0.1724,-0.2298,9.7683
790005,0.1724,-0.1915,9.9216
790055,0.1915,-0.2490,9.7683
790106,0.1724,-0.1724,9.8258
790155,0.0958,-0.2873,9.8450
790205,0.2107,-0.1915,9.7683
790255,0.1532,-0.2490,9.8258
790306,0.1724,-0.2107,9.8258
790354,0.1532,-0.2490,9.7683
790405,0.1915,-0.2107,9.7683
790455,0.1724,-0.2298,9.8450
790506,0.1915,-0.1915,9.8450
790554,0.1724,-0.2490,9.7492
790605,0.1915,-0.2298,9.8258
790655,0.1915,-0.2107,9.7875
790706,0.1915,-0.2490,9.7875
790754,0.1724,-0.2298,9.8067
790805,0.1915,-0.2298,9.8067
790855,0.1724,-0.2298,9.8067
790905,0.1724,-0.2107,9.7875
790955,0.1724,-0.1915,9.8067
791005,0.1915,-0.2107,9.8450
791055,0.1915,-0.1341,9.8258
791106,0.1341,-0.2682,9.9216
791155,0.2298,-0.1724,9.7683
791205,0.1915,-0.2298,9.8258
791255,0.1915,-0.2107,9.7875
791305,0.1724,-0.2490,9.7875
791355,0.2107,-0.1724,9.7683
791405,0.1724,-0.2682,9.8258
791455,0.2107,-0.1724,9.8450
791506,0.1915,-0.2490,9.7492
791554,0.1724,-0.1915,9.7683
791605,0.1724,-0.2107,9.7875
791655,0.1724,-0.2298,9.7875
791706,0.1724,-0.1724,9.7875
791754,0.1915,-0.1915,9.7492
791805,0.1341,-0.2107,9.8067
791855,0.1532,-0.2298,9.8067
791906,0.1915,-0.1724,9.8450
791955,0.0958,-0.1532,9.7875
792005,0.0575,-0.2490,9.8450
792055,0.1532,-0.1915,9.8067
792106,0.1149,-0.2682,9.8067
792155,0.1149,-0.1915,9.7683
792205,0.0575,-0.2298,9.8450
792255,0.0766,-0.1532,9.7492
792306,0.0766,-0.1915,9.8450
792355,0.1341,-0.1724,9.7875
792405,0.0766,-0.2298,9.7683
792455,0.0766,-0.2107,9.7683
792506,0.0575,-0.1724,9.8258
792554,0.0958,-0.1724,9.8258
792605,0.0766,-0.1915,9.7683
792655,0.0383,-0.1724,9.8258
792706,0.0383,-0.1532,9.7683
792754,0.0958,-0.2107,9.6151
792806,0.0383,-0.1341,9.8258
792855,0.0383,-0.1532,9.8641
792906,0.0575,-0.2298,9.8067
792955,0.0958,-0.2298,9.8258
793005,0.0766,-0.1724,9.7492
793055,0.0575,-0.2107,9.8833
793106,0.0766,-0.1915,9.8641
793155,0.1341,-0.1915,9.6917
793204,0.1341,-0.1915,9.8067
793255,0.0958,-0.2107,9.7300
793306,0.1149,-0.1341,9.7875
793355,0.0958,-0.2107,9.7683
793405,0.1149,-0.1724,9.7875
793455,0.1149,-0.2107,9.7875
793506,0.1532,-0.1724,9.7492
793554,0.1149,-0.2107,9.7109
793605,0.0766,-0.2107,9.8450
793655,0.1532,-0.1915,9.8450
793706,0.1341,-0.2107,9.8258
793754,0.1341,-0.1532,9.7875
793805,0.1341,-0.1532,9.7492
793855,0.1915,-0.1149,9.8258
793906,0.1724,-0.1915,9.8258
793955,0.2107,-0.0958,9.8258
794005,0.1532,-0.1724,9.7492
794055,0.1724,-0.1724,9.7875
794106,0.2107,-0.1341,9.7875
794155,0.1915,-0.1724,9.7683
794205,0.1724,-0.1532,9.7683
794255,0.1915,-0.1341,9.9024
794306,0.2298,-0.1724,9.6917
794355,0.0958,-0.1532,9.8641
794405,0.1341,-0.1915,9.8833
794455,0.2298,-0.0958,9.7875
794506,0.2107,-0.1149,9.8067
794554,0.1532,-0.1149,9.8067
794605,0.2298,-0.0958,9.7683
794655,0.1915,-0.1149,9.7875
794706,0.1915,-0.1149,9.8641
794754,0.2298,-0.0575,9.8450
794805,0.1915,-0.1341,9.7492
794855,0.2298,-0.1341,9.8067
794905,0.2107,-0.1724,9.8258
794955,0.2107,-0.1341,9.7875
795005,0.1915,-0.1724,9.8067
795055,0.2298,-0.1724,9.7683
795106,0.2490,-0.1341,9.7683
795155,0.2107,-0.2107,9.7300
795205,0.2490,-0.2107,9.7875
795255,0.3065,-0.1532,9.5960
795306,0.1149,-0.2873,9.8833
795355,0.1341,-0.2107,9.9407
795405,0.2490,-0.1915,9.7875
795455,0.2298,-0.1915,9.8067
795506,0.1915,-0.1915,9.7683
795554,0.2298,-0.1724,9.7492
795605,0.1724,-0.2298,9.7875
795655,0.2298,-0.1532,9.8641
795706,0.2298,-0.2107,9.7492
795755,0.2107,-0.1915,9.7875
795805,0.2107,-0.2107,9.8067
795855,0.2107,-0.1915,9.8067
795906,0.2107,-0.2107,9.8067
795955,0.2298,-0.2107,9.8067
796005,0.2107,-0.1915,9.7875
796055,0.2107,-0.1724,9.8641
796106,0.2107,-0.2298,9.7683
796155,0.2298,-0.1341,9.9790
796205,0.2490,-0.2682,9.6726
796255,0.1341,-0.2298,9.8450
796306,0.2298,-0.1341,9.7875
796355,0.2873,-0.1915,9.7683
796405,0.2298,-0.2107,9.8067
796455,0.1915,-0.1724,9.8258
796506,0.2298,-0.1915,9.7875
796554,0.2107,-0.2298,9.8067
796604,0.2298,-0.1532,9.8450
796655,0.2298,-0.2107,9.7492
