time,x,y,z
650236,0.7278,0.4405,9.7875,
650286,0.7278,0.4405,9.8067,
650335,0.7278,0.4405,9.8067,
650385,0.7278,0.4405,9.8067,
650436,0.7278,0.4405,9.7875,
650485,0.7087,0.4405,9.8067,
650534,0.7087,0.4405,9.8067,
650583,0.7278,0.4214,9.8067,
650634,0.7087,0.4405,9.8067,
650685,0.7278,0.4405,9.8067,
650735,0.7087,0.4405,9.8067,
650785,0.7278,0.4405,9.8067,
650835,0.7087,0.4405,9.8258,
650886,0.7278,0.4214,9.8258,
650935,0.7087,0.4405,9.8067,
650985,0.7087,0.4405,9.8067,
651034,0.7087,0.4597,9.8067,
651086,0.7087,0.4405,9.8067,
651135,0.7278,0.4405,9.8258,
651185,0.7278,0.4405,9.8067,
651236,0.7087,0.4405,9.8067,
651285,0.7087,0.4405,9.8067,
651335,0.7087,0.4405,9.8258,
651384,0.7278,0.4405,9.8067,
651435,0.7087,0.4405,9.8067,
651485,0.7278,0.4405,9.8067,
651535,0.7278,0.4405,9.8067,
651585,0.7087,0.4214,9.8067,
651634,0.7087,0.4405,9.8067,
651686,0.7087,0.4214,9.8067,
651735,0.7087,0.4405,9.8067,
651785,0.7087,0.4405,9.8258,
651836,0.7278,0.4405,9.8067,
651886,0.7087,0.4405,9.8067,
651935,0.7087,0.4405,9.8258,
651985,0.7278,0.4405,9.8067,
652034,0.7087,0.4405,9.8067,
652084,0.7278,0.4405,9.8067,
652135,0.7087,0.4405,9.8258,
652185,0.7087,0.4405,9.7875,
652235,0.7087,0.4405,9.8258,
652286,0.7087,0.4405,9.8067,
652335,0.7087,0.4405,9.8067,
652385,0.7087,0.4597,9.8067,
652436,0.7278,0.4405,9.8067,
652485,0.7087,0.4405,9.8067,
652535,0.7278,0.4405,9.8067,
652585,0.7087,0.4597,9.8067,
652636,0.7087,0.4405,9.8067,
652686,0.7278,0.4405,9.8067,
652735,0.7278,0.4405,9.8067,
652785,0.7087,0.4405,9.8067,
652835,0.7087,0.4214,9.8067,
652886,0.7087,0.4597,9.7875,
652935,0.7087,0.4405,9.8067,
652985,0.7087,0.4405,9.8067,
653035,0.7278,0.4405,9.8067,
653085,0.7087,0.4405,9.8067,
653135,0.7087,0.4405,9.8067,
653185,0.7087,0.4405,9.8067,
653236,0.7087,0.4405,9.8067,
653286,0.7087,0.4597,9.8067,
653335,0.7087,0.4214,9.8258,
653385,0.7087,0.4597,9.7875,
653435,0.7087,0.4405,9.8067,
653485,0.7278,0.4214,9.8067,
653535,0.7087,0.4405,9.7875,
653585,0.7087,0.4405,9.8067,
653636,0.7087,0.4405,9.8067,
653686,0.7278,0.4405,9.7875,
653735,0.7278,0.4405,9.8067,
653785,0.7278,0.4405,9.8067,
653834,0.7087,0.4405,9.8067,
653886,0.7087,0.4405,9.8067,
